,id,title,overview,release_date,popularity,genres,average_vote,runtime,poster_path
0,901362,Trolls Band Together,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",2023-10-12,1620.617,"Animation, Family, Music, Fantasy, Comedy",7.156,92,/bkpPTZUdq31UGDovmszsg2CchiI.jpg
1,872585,Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,2023-07-19,931.773,"Drama, History",8.1,181,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg
2,1046032,The Bad Guys: A Very Bad Holiday,"To keep their annual Holiday Heist-tacular afloat, Mr. Wolf and his crew of animal outlaws will have to restore the whole city's Christmas spirit — fast!",2023-11-30,662.771,"Animation, Comedy, Family",5.7,26,/atBDD05PbVDI2lm2OUy1KFQpzen.jpg
3,507089,Five Nights at Freddy's,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",2023-10-25,643.948,"Horror, Mystery",7.8,110,/7BpNtNfxuocYEVREzVMO75hso1l.jpg
4,670292,The Creator,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.",2023-09-27,635.548,"Science Fiction, Action, Thriller",7.13,134,/vBZ0qvaRxqEhZwl6LWmruJqWE8Z.jpg
5,1047925,Come Out Fighting,"In WWII, a squad of U.S. African-American soldiers are sent on a rescue mission behind enemy lines to locate their lost commanding officer and a downed fighter pilot.",2023-05-19,575.639,"War, Drama, Action",4.7,95,/sERwJxz0sqsbcUoTm66l9pI6HcH.jpg
6,385687,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",2023-05-17,581.347,"Action, Crime, Thriller",7.2,142,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg
7,575264,Mission: Impossible - Dead Reckoning Part One,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",2023-07-08,498.543,"Action, Thriller",7.593,164,/NNxYkU70HPurnNCSiCjYAmacwm.jpg
8,1022964,Candy Cane Lane,"A man, determined to win the neighborhood's annual Christmas decorating contest, makes a pact with an elf to help him win. However, the elf casts a spell bringing the twelve days of Christmas to life, bringing chaos to the small, unsuspecting town.",2023-11-29,472.265,"Comedy, Fantasy, Family",6.4,120,/2pYgOBtBaFxAELQGj6p86vuIhhG.jpg
9,940721,Godzilla Minus One,"In postwar Japan, a new terror rises. Will the devastated people be able to survive... let alone fight back?",2023-11-03,497.327,"Drama, Science Fiction, Action, Horror",8.452,125,/fk62hm95sVNHy5Lkx3d18wj1v19.jpg
10,775244,Mousa,"An engineering college student invents the first of its kind robot in the Middle East, in an attempt to avenge his father's death and achieve justice, which gets him pursued by the authorities.",2021-08-11,441.123,"Action, Adventure, Science Fiction",6.619,101,/voo0uaAVCGYgAAeJEf5peFNPOAI.jpg
11,920258,The Immortal Wars: Rebirth,Rebirth takes place during the early brutal stages of Dominion Industries. In this story watch Olive and other deviants undergo a series of deadly experiments lead by Laurie Harvey and her team.,2021-11-02,430.443,Science Fiction,3.5,84,/sp0fISNTyzttKfE0PB4ObG5ZRzC.jpg
12,960481,Princess Khutulun,"Princess Khotulun is the daughter of Haidu Khan of the Ugudei dynasty. The film tells the story of Princess Khotulun, the son of Kublai Khan, known in Western and Eastern history as a wrestling princess, and her struggle to reclaim her Golden Sutra.",2021-12-03,391.709,"History, Action, Drama",7.134,108,/dhD4QNmZwfh88y4Dm5XsX7dWFVf.jpg
13,502356,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",2023-04-05,386.298,"Animation, Family, Adventure, Fantasy, Comedy",7.7,93,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
14,1001835,Wifelike,"A grieving detective in the near-future hunts down criminals who trade artificial humans on the black market. In the fight to end AI exploitation, an underground resistance attempts to infiltrate him by sabotaging the programming of the artificial human assigned as his companion to behave like his late wife. She begins to question her reality as memories of a past life begin to surface in a world where nothing is as it seems.",2022-08-12,539.55,"Science Fiction, Mystery, Thriller",7.083,106,/tea2gDZPxw0wfKC2S2VRWHagtt4.jpg
15,609681,The Marvels,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",2023-11-08,385.95,"Science Fiction, Adventure, Action",6.6,105,/3sXv15ymVkaV7E18m4TlTgwNkAN.jpg
16,615656,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,2023-08-02,345.47,"Action, Science Fiction, Horror",6.7,116,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg
17,667538,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",2023-06-06,372.641,"Action, Adventure, Science Fiction",7.449,127,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg
18,798021,Family Switch,"When the Walker family members switch bodies with each other during a rare planetary alignment, their hilarious journey to find their way back to normal will bring them closer together than they ever thought possible.",2023-11-30,355.389,"Comedy, Fantasy, Family",6.395,106,/fnRUCA0fjEb3kuIaTGogL7425IC.jpg
19,1010581,My Fault,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",2023-06-08,315.923,"Drama, Romance",8.1,117,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg
20,346698,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",2023-07-19,353.52,"Comedy, Adventure, Fantasy",7.179,114,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg
21,566810,The Dark Kingdom,"To save their Kingdom from an army of undead, a group of warriors must travel through the forbidden lands fighting the fearsome beasts that call The Dark Kingdom their home.",2018-11-26,463.796,"Fantasy, Adventure, Science Fiction, Action",5.203,85,/o7StI2iR8yY1N67meSkNcXfojyD.jpg
22,569094,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023-05-31,307.324,"Animation, Action, Adventure, Science Fiction",8.402,140,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg
23,76600,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",2022-12-14,338.229,"Science Fiction, Adventure, Action",7.65,192,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
24,399566,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",2021-03-24,290.933,"Action, Science Fiction, Thriller",7.65,114,/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg
25,872906,Jawan,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.",2023-09-07,317.088,"Action, Adventure, Thriller",7.3,169,/jFt1gS4BGHlK8xt76Y81Alp4dbt.jpg
26,980489,Gran Turismo,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,2023-08-09,319.163,"Adventure, Action, Drama",7.999,135,/51tqzRtKMMZEYUpSYkrUE7v9ehm.jpg
27,287903,Krampus,"When his dysfunctional family clashes over the holidays, young Max is disillusioned and turns his back on Christmas.  Little does he know, this lack of festive spirit has unleashed the wrath of Krampus: a demonic force of ancient evil intent on punishing non-believers.",2015-11-26,328.852,"Horror, Comedy, Fantasy",6.2,98,/sAolMRD9rFSTU7tssfFuLEJJa7w.jpg
28,976573,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",2023-06-14,321.135,"Animation, Comedy, Family, Fantasy, Romance",7.7,102,/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg
29,839369,May December,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past.",2023-11-16,274.269,"Drama, Comedy",6.6,117,/yibtHDMO70RueiEmtrcJeTiiHFo.jpg
30,335977,Indiana Jones and the Dial of Destiny,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",2023-06-28,315.901,"Adventure, Action",6.678,155,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg
31,116776,Dragon Ball: Mystical Adventure,"Master Roshi has succeeded at the one mission he valued most: to train Goku and Krillin to become ultimate fighters. So, he arranges for them to test their mettle at a competition hosted by Emperor Chiaotzu. Not everyone's playing by the rules, however, as a member of the ruler's household schemes to use the Dragonballs to extort money and power from the royal.",1988-07-09,302.124,"Action, Animation",6.8,48,/5aXG0B3TYTpQsodXzvYCkKQfpB1.jpg
